Title,Company,Location
Frontend Programmer,Baru!,Lembaga Layanan Pendidikan Tinggi Wilayah IX
Frontend Developer,Baru!,PT Alfahuma Rekayasa Teknologi
Frontend Developer dan Fullstack Developer,Baru!,Lembaga Layanan Pendidikan Tinggi Wilayah V
Frontend Programmer,Baru!,PT Nusa Tekno Global
Frontend Developer Support,Baru!,PT Metra-Net
Frontend Developer,Baru!,PT Imajiku Cipta Media
Frontend Developer,Baru!,Perkumpulan Sosial Ekonomi Akselerator Lab
Telkomsel Software Development Intern - FrontEnd Engineer,Baru!,PT Telekomunikasi Selular
Telkomsel Software Development Intern - FrontEnd Engineer,Baru!,PT Telekomunikasi Selular
Telkomsel Software Development Intern - FrontEnd Engineer,Baru!,PT Telekomunikasi Selular
Telkomsel Software Development Intern - FrontEnd Engineer,Baru!,PT Telekomunikasi Selular
Frontend Developer Intern,Baru!,PT Telekomunikasi Selular
FIF - Programmer Frontend Angular,Baru!,PT Astra International Tbk
SERA - Frontend Developer ,Baru!,PT Astra International Tbk
Frontend Developer of CTARSA Foundation,Baru!,PT Trans Digital Media
Frontend Designer (Ads),Baru!,PT Trans Digital Media
Frontend Designer ERP,Baru!,PT Trans Digital Media
Frontend Engineer,Baru!,PT Adma Digital Solusi
Frontend Developer,Baru!,PT Bukit Vista Nusantara
Frontend Developer,Baru!,PT Suitmedia Kreasi Indonesia
Frontend,Baru!,PT Widya Inovasi Indonesia
