Title,Company,Location
UI/UX,Baru!,Lembaga Layanan Pendidikan Tinggi Wilayah IX
UI/UX Designer,Baru!,PT Radya Anugrah Digital
UI/UX Designer,Baru!,Badan Amil Zakat Nasional
UI / UX Designer,Baru!,Badan Amil Zakat Nasional
UI/UX Designer,Baru!,PT Edukasi Rekanan Anda
UI/UX Designer Intern,Baru!,PT Shippindo Teknologi Logistik
UI/UX Designer,Baru!,PT Surya Citra Media Tbk
UI/UX Engineer,Baru!,PT Surya Citra Media Tbk
UX Researcher Intern,Baru!,PT Fintek Karya Nusantara
UI/UX Intern,Baru!,PT Mitra Akademi Perkasa
UI/UX Designer,Baru!,PT Metra-Net
UI/UX Designer Intern,Baru!,PT United Tractors Tbk
UIUX Desainer,Baru!,PT Generasi Anak Muda Berkarya
 UI/UX Designer,Baru!,PT Stress Management Indonesia
UI/UX Designer ,Baru!,Ikatan Nasional Konsultan Indonesia
UI/UX Business Content & Community,Baru!,PT Viva Media Baru
UI/UX Automotive Content & Community,Baru!,PT Viva Media Baru
UI/UX Digital/Gadget Content & Community,Baru!,PT Viva Media Baru
UI/UX Edukasi/Kampus Content & Community,Baru!,PT Viva Media Baru
UI/UX Designer (Satudikti),Baru!,"Sekretariat Direktorat Jenderal Pendidikan Tinggi, Riset, dan Teknologi Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi"
UI/UX Designer (Satudikti),Baru!,"Sekretariat Direktorat Jenderal Pendidikan Tinggi, Riset, dan Teknologi Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi"
UI/UX Engineer (Intradikti),Baru!,"Sekretariat Direktorat Jenderal Pendidikan Tinggi, Riset, dan Teknologi Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi"
UI/UX Engineer (Kedaireka),Baru!,"Sekretariat Direktorat Jenderal Pendidikan Tinggi, Riset, dan Teknologi Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi"
UI/UX Designer (SISTER - SARPRAS),Baru!,"Sekretariat Direktorat Jenderal Pendidikan Tinggi, Riset, dan Teknologi Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi"
UI/UX Designer (PDDikti),Baru!,"Sekretariat Direktorat Jenderal Pendidikan Tinggi, Riset, dan Teknologi Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi"
UI/UX Engineer (SISTER-BKD),Baru!,"Sekretariat Direktorat Jenderal Pendidikan Tinggi, Riset, dan Teknologi Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi"
Instruktur UI/UX,Baru!,PT Bisa Artifisial Indonesia
UI/UX Designer,Baru!,PT Bisa Artifisial Indonesia
UI/UX Designer,Baru!,PT Bisa Artifisial Indonesia
UI/UX Designer,Baru!,Perkumpulan Sosial Ekonomi Akselerator Lab
UI/UX Designer,Baru!,"Badan Strategi Kebijakan Luar Negeri (BSKLN), Kementerian Luar Negeri"
ENHANCE AKSESMU PLATFORM - UI UX (AKSESMU),Baru!,PT Sumber Alfaria Trijaya Tbk
UI/UX Analyst for B2B Intern,Baru!,PT Telekomunikasi Selular
Telkomsel UI/UX Designer Intern,Baru!,PT Telekomunikasi Selular
Telkomsel UI/UX Designer Intern,Baru!,PT Telekomunikasi Selular
Telkomsel UI/UX Designer Intern,Baru!,PT Telekomunikasi Selular
Telkomsel UI/UX Research Intern,Baru!,PT Telekomunikasi Selular
Telkomsel UI/UX Designer Intern,Baru!,PT Telekomunikasi Selular
Telkomsel Software Development Intern - Unix/Linux Engineer,Baru!,PT Telekomunikasi Selular
Telkomsel UI/UX Designer Intern,Baru!,PT Telekomunikasi Selular
