Title,Company,Location,Daerah
Mobile Programmer,PT Indi Teknokreasi Internasional,Lembaga Layanan Pendidikan Tinggi Wilayah IX,Kota Makassar (WFO)
Mobile Developer,PT Indi Teknokreasi Internasional,PT Radya Anugrah Digital,Kota Bandung (WFO)
Mobile Developer,PT Indi Teknokreasi Internasional,PT Radya Anugrah Digital,Kota Bandung (WFO)
Mobile Programming,PT Indi Teknokreasi Internasional,Badan Amil Zakat Nasional,Kota Jakarta Timur (WFO)
Mobile Apps Developer,PT Indi Teknokreasi Internasional,Kementerian Komunikasi dan Informatika,Kota Gorontalo (WFO)
Mobile Apps Developer,PT Indi Teknokreasi Internasional,Kementerian Komunikasi dan Informatika,Kota Surabaya (WFO)
Mobile Developer,PT Indi Teknokreasi Internasional,PT Edukasi Rekanan Anda,Kota Jakarta Selatan (WFO)
Mobile Developer - IT Business Process & Project,PT Indi Teknokreasi Internasional,PT Surya Citra Media Tbk,Kota Jakarta Pusat (WFO)
Mobile Developer - IT Business Application,PT Indi Teknokreasi Internasional,PT Surya Citra Media Tbk,Kota Jakarta Pusat (WFO)
Designer (Web & Mobile Apps),PT Indi Teknokreasi Internasional,PT Imajiku Cipta Media,Kota Yogyakarta (WFO)
Mobile Apps Developer (React Native),PT Indi Teknokreasi Internasional,PT Imajiku Cipta Media,Kota Yogyakarta (WFO)
Backend Developer (Web & Mobile Apps),PT Indi Teknokreasi Internasional,PT Imajiku Cipta Media,Kota Yogyakarta (WFO)
 Mobile Developer Android + ios (Satudikti),PT Indi Teknokreasi Internasional,"Sekretariat Direktorat Jenderal Pendidikan Tinggi, Riset, dan Teknologi Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Kota Jakarta Pusat (WFO)
Mobile Developer Android,PT Indi Teknokreasi Internasional,Yayasan Lembaga Manajemen Infaq Ukhuwah Islamiyah,Kota Surabaya (WFO)
Mobile Developer iOS,PT Indi Teknokreasi Internasional,Yayasan Lembaga Manajemen Infaq Ukhuwah Islamiyah,Kota Surabaya (WFO)
Telkomsel Software Developer Intern - Mobile Apps Engineer (Android),PT Indi Teknokreasi Internasional,PT Telekomunikasi Selular,Kota Jakarta Selatan (WFO)
